Name,Agency,State,Unit_acres,Total_acres,year
Moosehorn Wilderness,FWS,ME,2712,2712,1970
Mount Baldy Wilderness,FS,AZ,6819,6819,1970
Oregon Islands Wilderness,FWS,OR,593.06,593.06,1970
Passage Key Wilderness,FWS,FL,36.37,36.37,1970
Pelican Island Wilderness,FWS,FL,5.5,5.5,1970
Petrified Forest National Wilderness Area,NPS,AZ,50260,50260,1970
Saint Lazaria Wilderness,FWS,AK,65,65,1970
Salt Creek Wilderness,FWS,NM,9621,9621,1970
Seney Wilderness,FWS,MI,25150,25150,1970
Three Arch Rocks Wilderness,FWS,OR,15,15,1970
Tuxedni Wilderness,FWS,AK,5566,5566,1970
Washington Islands Wilderness,FWS,WA,451.5,451.5,1970
Wichita Mountains Wilderness,FWS,OK,8570,8570,1970
Wisconsin Islands Wilderness,FWS,WI,29,29,1970
Cedar Keys Wilderness,FWS,FL,379,379,1972
Lassen Volcanic Wilderness,NPS,CA,79061,79061,1972
Lava Beds Wilderness,NPS,CA,28460,28460,1972
Pine Mountain Wilderness,FS,AZ,20053,20053,1972
Sawtooth Wilderness,FS,ID,217511,217511,1972
Scapegoat Wilderness,FS,MT,259756,259756,1972
Sycamore Canyon Wilderness,FS,AZ,58441,58441,1972
Farallon Wilderness,FWS,CA,141,141,1974
Okefenokee Wilderness,FWS,GA,353981,353981,1974
Agua Tibia Wilderness,FS,CA,17436,17975,1975
Beaver Creek Wilderness,FS,KY,4816,4816,1975
Blackbeard Island Wilderness,FWS,GA,3000,3000,1975
Bosque del Apache Wilderness,FWS,NM,30427,30427,1975
Bradwell Bay Wilderness,FS,FL,24222,24222,1975
Breton Wilderness,FWS,LA,5000,5000,1975
Brigantine Wilderness,FWS,NJ,6681,6681,1975
Bristol Cliffs Wilderness,FS,VT,3750,3750,1975
Caney Creek Wilderness,FS,AR,14290,14290,1975
Cape Romain Wilderness,FWS,SC,29000,29000,1975
Chamisso Wilderness,FWS,AK,455,455,1975
Chase Lake Wilderness,FWS,ND,4155,4155,1975
Cohutta Wilderness,FS,GA,35287,37033,1975
Cohutta Wilderness,FS,TN,1746,37033,1975
Dolly Sods Wilderness,FS,WV,17776,17776,1975
Ellicott Rock Wilderness,FS,GA,2023,8300,1975
Ellicott Rock Wilderness,FS,NC,3416,8300,1975
Ellicott Rock Wilderness,FS,SC,2861,8300,1975
Emigrant Wilderness,FS,CA,112723,112723,1975
Flat Tops Wilderness,FS,CO,230830,230830,1975
Florida Keys Wilderness,FWS,FL,6197,6197,1975
Gee Creek Wilderness,FS,TN,2559,2559,1975
Hells Canyon Wilderness,FS,ID,86276,217613,1975
Hells Canyon Wilderness,FS,OR,130391,217613,1975
James River Face Wilderness,FS,VA,8907,8907,1975
Joyce Kilmer-Slickrock Wilderness,FS,NC,13590,19246,1975
Joyce Kilmer-Slickrock Wilderness,FS,TN,3820,19246,1975
Lostwood Wilderness,FWS,ND,5577,5577,1975
Lye Brook Wilderness,FS,VT,18122,18122,1975
Mission Mountains Wilderness,FS,MT,74524,74524,1975
Moosehorn (Baring Unit) Wilderness,FWS,ME,4680,4680,1975
Otter Creek Wilderness,FS,WV,20706,20706,1975
Presidential Range-Dry River Wilderness,FS,NH,27605,27605,1975
Rainbow Lake Wilderness,FS,WI,7135,7135,1975
Sipsey Wilderness,FS,AL,25770,25770,1975
St. Marks Wilderness,FWS,FL,17350,17350,1975
Upper Buffalo Wilderness,FS,AR,11978,11978,1975
Weminuche Wilderness,FS,CO,497061,497061,1975
West Sister Island Wilderness,FWS,OH,77,77,1975
Wolf Island Wilderness,FWS,GA,5125.82,5125.82,1975
Agassiz Wilderness,FWS,MN,4000,4000,1976
Alpine Lakes Wilderness,FS,WA,414325,414325,1976
Badlands Wilderness,NPS,SD,64144,64144,1976
Bandelier Wilderness,NPS,NM,23267,23267,1976
Big Lake Wilderness,FWS,AR,2143.8,2143.8,1976
Black Canyon of the Gunnison Wilderness,NPS,CO,15599,15599,1976
Chassahowitzka Wilderness,FWS,FL,23578.93,23578.93,1976
Chiricahua National Monument Wilderness,NPS,AZ,10290,10290,1976
Crab Orchard Wilderness,FWS,IL,4050,4050,1976
Eagles Nest Wilderness,FS,CO,135114,135114,1976
Fitzpatrick Wilderness,FS,WY,198906,198906,1976
Fort Niobrara Wilderness,FWS,NE,4635,4635,1976
Great Sand Dunes Wilderness,NPS,CO,32643,32643,1976
Hain Wilderness,NPS,CA,15985,15985,1976
Haleakala Wilderness,NPS,HI,24719,24719,1976
Hercules-Glades Wilderness,FS,MO,12423,12423,1976
Isle Royale Wilderness,NPS,MI,132018,132018,1976
"J.N. ""Ding"" Darling Wilderness",FWS,FL,2619.13,2619.13,1976
Joshua Tree Wilderness,NPS,CA,595364,595364,1976
Kaiser Wilderness,FS,CA,21986,21986,1976
Lacassine Wilderness,FWS,LA,3345.6,3345.6,1976
Lake Woodruff Wilderness,FWS,FL,1066,1066,1976
Medicine Lake Wilderness,FWS,MT,11366,11366,1976
Mesa Verde Wilderness,NPS,CO,8500,8500,1976
Mingo Wilderness,FWS,MO,7730,7730,1976
Phillip Burton Wilderness,NPS,CA,27315,27315,1976
Red Rock Lakes Wilderness,FWS,MT,32350,32350,1976
Saguaro Wilderness,NPS,AZ,70905,70905,1976
San Juan Wilderness,FWS,WA,353,353,1976
Shenandoah Wilderness,NPS,VA,79579,79579,1976
Simeonof Wilderness,FWS,AK,25855,25855,1976
Swanquarter Wilderness,FWS,NC,8784.93,8784.93,1976
Tamarac Wilderness,FWS,MN,2180,2180,1976
UL Bend Wilderness,FWS,MT,20819,20819,1976
Absaroka-Beartooth Wilderness,FS,MT,913338,937032,1978
Blackjack Springs Wilderness,FS,WI,5912,5912,1978
Buffalo National River Wilderness,NPS,AR,34933,34933,1978
Carlsbad Caverns Wilderness,NPS,NM,33125,33125,1978
Chama River Canyon Wilderness,FS,NM,47035,47035,1978
Golden Trout Wilderness,FS,CA,303770,303770,1978
Gospel-Hump Wilderness,FS,ID,205395,205395,1978
Great Bear Wilderness,FS,MT,286659,286659,1978
Guadalupe Mountains Wilderness,NPS,TX,46850,46850,1978
Gulf Islands Wilderness,NPS,MS,4630,4630,1978
Hawaii Volcanoes Wilderness,NPS,HI,123100,123100,1978
Hunter-Fryingpan Wilderness,FS,CO,82513,82513,1978
Indian Peaks Wilderness,FS,CO,74973,77932,1978
Lone Peak Wilderness,FS,UT,30632,30632,1978
Manzano Mountain Wilderness,FS,NM,36763,36763,1978
Marjory Stoneman Douglas Wilderness,NPS,FL,1296500,1296500,1978
Organ Pipe Cactus Wilderness,NPS,AZ,312600,312600,1978
Pusch Ridge Wilderness,FS,AZ,56974,56974,1978
Sandia Mountain Wilderness,FS,NM,37278,37278,1978
Santa Lucia Wilderness,BLM,CA,1807,20241,1978
Santa Lucia Wilderness,FS,CA,18434,20241,1978
Savage Run Wilderness,FS,WY,15271,15271,1978
Theodore Roosevelt Wilderness,NPS,ND,29920,29920,1978
Welcome Creek Wilderness,FS,MT,28248,28248,1978
Wenaha-Tucannon Wilderness,FS,OR,65266,176737,1978
Wenaha-Tucannon Wilderness,FS,WA,111471,176737,1978
Whisker Lake Wilderness,FS,WI,7270,7270,1978
Wild Rogue Wilderness,BLM,OR,8604,35221,1978
Wild Rogue Wilderness,FS,OR,26617,35221,1978
Aldo Leopold Wilderness,FS,NM,203548,203548,1980
Aleutian Islands Wilderness,FWS,AK,1300000,1300000,1980
Andreafsky Wilderness,FWS,AK,1300000,1300000,1980
Apache Kid Wilderness,FS,NM,44678,44678,1980
Becharof Wilderness,FWS,AK,400000,400000,1980
Bell Mountain Wilderness,FS,MO,9183,9183,1980
